person,dept,eow,cause
Sheriff Samuel Lee Lockhart,"Llano County Sheriff's Office, TX","EOW: Saturday, January 9, 1858",Cause: Stabbed
Special Police Officer George C. Chapman,"Sacramento Police Department, CA","EOW: Tuesday, April 27, 1858",Cause: Gunfire
Private William Earbee,"Texas Rangers, TX","EOW: Wednesday, May 5, 1858",Cause: Gunfire (Accidental)
Private Robert Nickles,"Texas Rangers, TX","EOW: Wednesday, May 12, 1858",Cause: Stabbed
Private Waco Indian,"Texas Rangers, TX","EOW: Wednesday, May 12, 1858",Cause: Gunfire
City Marshal Joseph Beard,"Lexington Police Department, KY","EOW: Saturday, July 10, 1858",Cause: Stabbed
Deputy Sheriff Travis Gibson,"Campbell County Sheriff's Office, TN","EOW: Tuesday, August 3, 1858",Cause: Stabbed
Sheriff Sampson D. Queener,"Campbell County Sheriff's Office, TN","EOW: Tuesday, August 3, 1858",Cause: Stabbed
Patrolman George Coulter,"Louisville Police Department, KY","EOW: Tuesday, August 17, 1858",Cause: Gunfire
Police Officer Thomas H. Snyder,"Philadelphia Police Department, PA","EOW: Thursday, September 9, 1858",Cause: Explosion
Police Officer Benjamin Benton,"Baltimore City Police Department, MD","EOW: Wednesday, September 22, 1858",Cause: Gunfire
Police Officer William Cooke,"Salt Lake City Police Department, UT","EOW: Monday, October 18, 1858",Cause: Gunfire
Police Officer Robert M. Rigdon,"Baltimore City Police Department, MD","EOW: Monday, November 8, 1858",Cause: Gunfire
City Marshal Frederick Warren,"Worcester Police Department, MA","EOW: Saturday, November 13, 1858",Cause: Gunfire (Accidental)
Policeman Joel N. McDonald,"Columbia Police Department, CA","EOW: Friday, November 26, 1858",Cause: Gunfire
Constable John Leary,"Columbia Police Department, CA","EOW: Monday, November 29, 1858",Cause: Gunfire
Constable David Welch,"Henderson County Sheriff's Office, IL","EOW: Tuesday, January 11, 1859",Cause: Gunfire
Deputy Sheriff George W. Martin,"Placer County Sheriff's Department, CA","EOW: Monday, July 11, 1859",Cause: Gunfire
Jailer Robert L. Johnson,"Cameron County Sheriff's Office, TX","EOW: Wednesday, September 28, 1859",Cause: Gunfire
Constable George Morris,"Cameron County Constable's Office - Precinct 2, TX","EOW: Wednesday, September 28, 1859",Cause: Gunfire
Private John Fox,"Texas Rangers, TX","EOW: Wednesday, November 16, 1859",Cause: Gunfire
Private Thomas Grier,"Texas Rangers, TX","EOW: Wednesday, November 16, 1859",Cause: Gunfire
Private William McKay,"Texas Rangers, TX","EOW: Wednesday, November 16, 1859",Cause: Gunfire
Private Nicholas R. Milett,"Texas Rangers, TX","EOW: Wednesday, November 16, 1859",Cause: Gunfire
Private David Herman,"Texas Rangers, TX","EOW: Wednesday, December 14, 1859",Cause: Gunfire
Patrolman John Steward,"New York Metropolitan Police Force, NY","EOW: Tuesday, December 20, 1859",Cause: Structure collapse
Private Fountain B. Woodruff,"Texas Rangers, TX","EOW: Saturday, February 4, 1860",Cause: Gunfire
Sheriff Thomas S. Milligan,"Mason County Sheriff's Department, TX","EOW: Sunday, February 19, 1860",Cause: Assault
Officer C. Edward Foley,"Houston Police Department, TX","EOW: Saturday, March 10, 1860",Cause: Gunfire
Deputy U.S. Marshal Leonard Armes,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, April 20, 1860",Cause: Gunfire
Patrolman W. Stith Tucker,"Memphis Police Department, TN","EOW: Saturday, May 5, 1860",Cause: Stabbed
Police Officer Levi Washington Davis,"Springville Police Department, UT","EOW: Monday, May 7, 1860",Cause: Gunfire
Patrol Officer William Loughrey,"Cambridge Police Department, MA","EOW: Tuesday, June 26, 1860",Cause: Stabbed
Deputy Sheriff Thomas Shain,"Collin County Sheriff's Office, TX","EOW: Monday, July 2, 1860",Cause: Gunfire
Constable Miles Huntsman,"Amador County Constable's Office, CA","EOW: Thursday, July 26, 1860",Cause: Gunfire
Deputy Thomas Nolan,"Nueces County Sheriff's Office, TX","EOW: Wednesday, August 15, 1860",Cause: Gunfire
Officer Claborne Long,"Cincinnati Police Department, OH","EOW: Wednesday, January 9, 1861",Cause: Stabbed
Officer Daniel Hallam,"Cincinnati Police Department, OH","EOW: Thursday, January 10, 1861",Cause: Stabbed
Sheriff Jesse Sut Harris,"Brown County Sheriff's Department, TX","EOW: Thursday, June 6, 1861",Cause: Gunfire
Officer Patrick Nuttle,"Cincinnati Police Department, OH","EOW: Tuesday, June 11, 1861",Cause: Stabbed
Policeman Nehum M. Pratte,"St. Louis Metropolitan Police Department, MO","EOW: Monday, June 17, 1861",Cause: Gunfire
Keeper Augustus T. Wright,"New York State Department of Correctional Services, NY","EOW: Thursday, July 11, 1861",Cause: Assault
Patrolman David Martin,"New York Metropolitan Police Force, NY","EOW: Tuesday, August 6, 1861",Cause: Stabbed
Sheriff John B. York,"Tarrant County Sheriff's Department, TX","EOW: Saturday, August 24, 1861",Cause: Stabbed
Sheriff John L. Blackburn,"Carson County Sheriff's Office, NV","EOW: Thursday, November 28, 1861",Cause: Stabbed
Police Officer John C. Gilmore,"St. Louis Metropolitan Police Department, MO","EOW: Tuesday, December 24, 1861",Cause: Gunfire
Patrolman John W. Causey,"Memphis Police Department, TN","EOW: Tuesday, December 31, 1861",Cause: Stabbed
Patrolman Ben S. Rust,"Louisville Police Department, KY","EOW: Thursday, January 16, 1862",Cause: Gunfire
Warden Daniel Webster,"Connecticut Department of Correction, CT","EOW: Thursday, March 27, 1862",Cause: Stabbed
Sheriff N. F. Scott,"Mono County Sheriff's Office, CA","EOW: Saturday, April 5, 1862",Cause: Gunfire
Constable John Welch,"Evansville Police Department, IN","EOW: Monday, April 14, 1862",Cause: Gunfire
Patrolman Henry L. Williams,"New York Metropolitan Police Force, NY","EOW: Tuesday, October 14, 1862",Cause: Gunfire
Deputy Sheriff Martin Roohan,"Santa Clara County Sheriff's Office, CA","EOW: Thursday, October 23, 1862",Cause: Stabbed
Sergeant John Sturdy,"St. Louis Metropolitan Police Department, MO","EOW: Friday, April 10, 1863",Cause: Assault
Police Officer Dennis McMahon,"Virginia City Police Department, NV","EOW: Sunday, April 12, 1863",Cause: Gunfire
Police Officer Thomas Reed,"Virginia City Police Department, NV","EOW: Sunday, April 12, 1863",Cause: Gunfire
Warden Richard Tinker,"Maine Department of Corrections, ME","EOW: Thursday, May 14, 1863",Cause: Stabbed
Deputy Sheriff D. H. Dillingham,"Bannock County Sheriff's Department, ID","EOW: Monday, June 29, 1863",Cause: Gunfire
Patrolman Edward Dippel,"New York Metropolitan Police Force, NY","EOW: Sunday, July 19, 1863",Cause: Gunfire
Patrolman Peter McIntyre,"New York Metropolitan Police Force, NY","EOW: Sunday, August 9, 1863",Cause: Assault
Officer John F. Baylis,"Wilmington Police Department, DE","EOW: Wednesday, September 9, 1863",Cause: Gunfire
Constable Henry Unger,"Pennsylvania State Constable - Franklin County, PA","EOW: Tuesday, October 13, 1863",Cause: Gunfire
Sheriff William H. Tainter,"Mendocino County Sheriff's Office, CA","EOW: Friday, October 23, 1863",Cause: Drowned
Patrolman John T. Van Buren,"New York Metropolitan Police Force, NY","EOW: Saturday, November 7, 1863",Cause: Assault
Inspector William Bird Goodell,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, December 16, 1863",Cause: Drowned
Deputy Collector James M. Anderson,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, December 16, 1863",Cause: Drowned
Patrolman John Starkey,"New York Metropolitan Police Force, NY","EOW: Wednesday, January 20, 1864",Cause: Assault
Patrolman Austin H. Easterbrook,"New York Metropolitan Police Force, NY","EOW: Saturday, February 6, 1864",Cause: Animal related
Special Agent Garrett W. Freer,"United States Army Criminal Investigation Division, US","EOW: Monday, May 2, 1864",Cause: Gunfire
Deputy Warden Joseph T. Clark,"Illinois Department of Corrections, IL","EOW: Sunday, May 8, 1864",Cause: Assault
Patrolman George W. Duryea,"New York Metropolitan Police Force, NY","EOW: Monday, May 16, 1864",Cause: Gunfire
Deputy Sheriff Andrew Kriss,"San Diego County Sheriff's Department, CA","EOW: Wednesday, May 25, 1864",Cause: Gunfire
Deputy Joseph Staples,"El Dorado County Sheriff's Department, CA","EOW: Friday, July 1, 1864",Cause: Gunfire
Patrolman John J. O'Brien,"New York Metropolitan Police Force, NY","EOW: Thursday, August 25, 1864",Cause: Gunfire
Deputy Marshal Charles Ring,"Saginaw Police Department, MI","EOW: Wednesday, September 14, 1864",Cause: Gunfire
Sheriff Harvey Staten Cox,"Young County Sheriff's Office, TX","EOW: Thursday, September 15, 1864",Cause: Assault
Sheriff Robert Carmen,"Chariton County Sheriff's Department, MO","EOW: Tuesday, September 20, 1864",Cause: Gunfire
Special Agent Josiah M. Woodruff,"United States Army Criminal Investigation Division, US","EOW: Saturday, October 1, 1864",Cause: Gunfire
Deputy Provost Marshal John L. Bashore,"United States Army Criminal Investigation Division, US","EOW: Saturday, October 1, 1864",Cause: Gunfire
Patrolman Charles Curren,"New York Metropolitan Police Force, NY","EOW: Thursday, October 6, 1864",Cause: Gunfire
Special Agent Cyrus Butler,"United States Army Criminal Investigation Division, US","EOW: Monday, October 31, 1864",Cause: Gunfire
Patrolman Joseph Nulett,"New York Metropolitan Police Force, NY","EOW: Monday, November 7, 1864",Cause: Gunfire
Sheriff Matthew Nolan,"Nueces County Sheriff's Office, TX","EOW: Thursday, December 22, 1864",Cause: Gunfire
Sheriff William W. Armstrong,"Jefferson County Sheriff's Department, WA","EOW: Thursday, December 29, 1864",Cause: Duty related illness
